id,čas11
106,4.02
164,4.02
64,4.02
122,4.02
86,4.02
201,4.02
177,4.02
211,4.02
6,4.02
148,4.02
76,4.02
192,4.02
111,4.02
157,4.02
181,4.02
56,4.02
207,4.02
1,4.02
18,4.02
11,4.02
167,4.02
172,4.02
31,4.02
71,4.02
73,4.02
92,4.02
96,4.02
26,4.02
91,4.02
183,4.02
62,4.02
127,4.02
144,4.02
88,4.02
63,4.02
95,4.02
168,4.02
65,4.02
28,4.02
121,4.02
5,4.02
51,4.02
141,4.02
27,4.02
114,4.02
4,4.02
19,4.02
161,4.02
33,4.02
44,4.02
24,4.02
97,4.02
72,4.02
37,4.02
212,4.02
8,4.02
117,4.02
69,4.02
187,4.02
182,4.02
2,4.02
205,4.02
57,4.02
185,4.02
35,4.02
162,4.02
154,4.02
218,4.02
58,4.02
108,4.02
116,4.02
52,4.02
196,4.02
107,4.02
105,4.02
84,4.02
145,4.02
77,4.02
143,4.02
198,4.02
152,4.03
34,4.03
142,4.03
202,4.03
112,4.03
128,4.03
204,4.03
23,4.03
53,4.03
155,4.03
32,4.03
206,4.03
22,4.03
14,4.03
118,4.03
132,4.03
194,4.03
175,4.03
188,4.04
178,4.04
66,4.04
146,4.04
113,4.04
3,4.04
165,4.04
102,4.04
82,4.04
174,4.04
83,4.04
81,4.04
215,4.04
85,4.04
151,4.04
176,4.04
45,4.04
75,4.04
74,4.04
171,4.04
158,4.04
156,4.04
123,4.04
153,4.04
36,4.04
213,4.04
93,4.04
126,4.04
43,4.04
94,4.04
115,4.04
138,4.04
208,4.04
101,4.04
184,4.04
133,4.04
134,4.04
137,4.04
15,4.04
16,4.04
47,4.04
68,4.04
67,4.04
195,4.04
25,4.04
38,4.05
203,4.05
163,4.05
7,4.05
125,4.05
216,4.05
98,4.05
173,4.05
124,4.05
55,4.05
54,4.05
136,4.05
48,4.05
135,4.05
42,4.05
104,4.05
103,4.05
193,4.05
17,4.05
46,4.05
21,4.05
78,4.05
166,4.05
147,4.06
217,4.08
12,4.08
