ime,id,država,tip,ekipa,starost,teža,višina,ODR,GC,TT,Sprint,Climber
Yves Lampaert,56,be,Classic,Quick-Step Alpha Vinyl Team,31,75kg,1.80m,3156,1199,2215,1660,792
Wout Van Aert,16,be,Classic,Jumbo-Visma,27,78kg,1.90m,6290,941,2466,1772,3995
Tadej Pogacar,1,si,Climber,UAE Team Emirates,23,66kg,1.76m,3781,5194,1821,226,7108
Filippo Ganna,24,it,TT,INEOS Grenadiers,25,83kg,1.93m,495,673,4228,192,505
Mathieu Van Der Poel,101,nl,Classic,Alpecin-Deceuninck,27,75kg,1.84m,4999,984,906,1384,2398
Mads Pedersen,171,dk,Classic,Trek - Segafredo,26,70kg,1.80m,2552,888,1307,2205,1732
Jonas Vingegaard Rasmussen,18,dk,Climber,Jumbo-Visma,25,60kg,1.75m,320,3391,1302,129,3558
Primoz Roglic,11,si,Climber,Jumbo-Visma,32,65kg,1.77m,1537,6694,4776,163,7796
Bauke Mollema,175,nl,Climber,Trek - Segafredo,35,64kg,1.84m,4841,5885,2042,726,9602
Dylan Teuns,86,be,Climber,Bahrain - Victorious,30,64kg,1.81m,1707,2478,528,339,3756
Magnus Cort Nielsen,146,dk,Climber,EF Education-EasyPost,29,68kg,1.84m,1024,959,699,1812,2044
Bob Jungels,36,lu,TT,AG2R Citroën Team,29,70kg,1.89m,1140,2559,2685,332,2521
Adam Yates,28,gb,Climber,INEOS Grenadiers,29,58kg,1.73m,1902,5792,1018,130,7037
Stefan Kung,94,ch,TT,Groupama - FDJ,28,83kg,1.93m,2079,1502,4790,442,1296
Thomas Pidcock,25,gb,Climber,INEOS Grenadiers,22,58kg,1.70m,1675,591,65,154,1768
Jan Tratnik,87,si,TT,Bahrain - Victorious,32,67kg,1.73m,721,688,1656,654,911
Michael Matthews,201,au,Climber,Team BikeExchange - Jayco,31,72kg,1.78m,6450,832,1642,3278,6630
Geraint Thomas,21,gb,GC,INEOS Grenadiers,36,71kg,1.83m,1236,6068,5097,909,5446
Lennard Kamna,44,de,Climber,BORA - hansgrohe,25,65kg,1.81m,245,889,712,54,1788
Mattia Cattaneo,54,it,Climber,Quick-Step Alpha Vinyl Team,31,67kg,1.84m,680,1280,1427,160,1612
Aleksandr Vlasov,41,ru,Climber,BORA - hansgrohe,26,68kg,1.86m,1028,2593,694,81,3394
Florian Vermeersch,167,be,Classic,Lotto Soudal,23,85kg,1.93m,946,224,214,403,166
Benjamin Thomas 2,77,fr,TT,Cofidis,26,68kg,1.79m,273,802,1021,204,716
Louis Meintjes,124,za,Climber,Intermarché - Wanty - Gobert Matériaux,30,58kg,1.73m,609,2946,346,100,3328
Christophe Laporte,15,fr,Classic,Jumbo-Visma,29,76kg,1.91m,3199,785,851,2266,1197
Jonathan Castroviejo,23,es,TT,INEOS Grenadiers,35,62kg,1.71m,253,2001,4531,94,1210
Maximilian Schachmann,47,de,Climber,BORA - hansgrohe,28,70kg,1.83m,1326,1722,1373,140,2673
Patrick Konrad,45,at,Climber,BORA - hansgrohe,30,64kg,1.81m,1394,2376,445,342,3474
Toms Skujins,177,lv,Classic,Trek - Segafredo,31,70kg,1.81m,1727,822,289,695,1508
Max Walscheid,78,de,Sprint,Cofidis,29,90kg,1.99m,1415,221,678,2183,236
Matej Mohoric,84,si,Climber,Bahrain - Victorious,27,72kg,1.86m,2501,1683,232,658,2743
Brandon Mcnulty,6,us,Climber,UAE Team Emirates,24,69kg,1.83m,533,1346,1212,54,1722
Daniel Felipe Martinez,22,co,GC,INEOS Grenadiers,26,63kg,1.72m,691,2409,995,34,2260
Pierre Luc Perichon,72,fr,Classic,Cofidis,35,69kg,1.82m,711,708,220,386,486
Aleksey Lutsenko,131,kz,Climber,Astana Qazaqstan Team,29,74kg,1.74m,1877,2919,910,930,3225
Luis Leon Sanchez,85,es,GC,Bahrain - Victorious,38,73kg,1.86m,1842,5895,2933,1529,4710
Romain Bardet,111,fr,Climber,Team DSM,31,65kg,1.85m,2912,6044,371,296,8596
Gorka Izagirre,63,es,Climber,Movistar Team,34,66kg,1.76m,1397,2345,764,268,2934
Nils Eekhoff,114,nl,Sprint,Team DSM,24,75kg,1.92m,385,265,222,494,152
Hugo Houle,196,ca,GC,Israel - Premier Tech,31,72kg,1.83m,616,925,641,194,890
Martijn Tusveld,117,nl,GC,Team DSM,28,70kg,1.88m,148,506,313,110,362
Matteo Jorgenson,64,us,Climber,Movistar Team,23,65kg,1.90m,266,850,178,56,1130
Kasper Asgreen,52,dk,TT,Quick-Step Alpha Vinyl Team,27,75kg,1.92m,1527,644,1981,294,1322
Neilson Powless,147,us,Climber,EF Education-EasyPost,25,67kg,1.83m,1312,1479,726,250,1832
Alfred Wright,88,gb,Climber,Bahrain - Victorious,23,75kg,1.84m,367,206,355,122,955
Nairo Quintana,151,co,GC,Team Arkéa Samsic,32,59kg,1.67m,765,9296,1258,84,8994
Alberto Bettiol,143,it,Climber,EF Education-EasyPost,28,69kg,1.80m,1891,671,782,246,1964
Connor Swift,158,gb,Classic,Team Arkéa Samsic,26,75kg,1.90m,610,553,294,181,361
Jasper Stuyven,178,be,Classic,Trek - Segafredo,30,78kg,1.87m,4066,1013,164,2033,2657
Gianni Moscon,136,it,Classic,Astana Qazaqstan Team,28,70kg,1.82m,1857,898,606,320,1355
David Gaudu,91,fr,Climber,Groupama - FDJ,25,53kg,1.72m,1500,2628,136,19,4067
Nelson Oliveira,66,pt,TT,Movistar Team,33,67kg,1.80m,491,1110,3235,50,968
Jack Haig,81,au,Climber,Bahrain - Victorious,28,67kg,1.90m,605,2738,299,96,2829
Luke Durbridge,203,au,TT,Team BikeExchange - Jayco,31,78kg,1.87m,783,1238,2275,206,289
Kobe Goossens,123,be,Classic,Intermarché - Wanty - Gobert Matériaux,26,64kg,1.78m,346,287,23,25,342
Andrea Bagioli,53,it,Climber,Quick-Step Alpha Vinyl Team,23,60kg,1.76m,753,300,106,15,1190
Nathan Van Hooydonck,17,be,Classic,Jumbo-Visma,26,78kg,1.92m,534,316,297,160,119
Florian Senechal,58,fr,Classic,Quick-Step Alpha Vinyl Team,28,77kg,1.79m,2827,698,202,1616,936
Tiesj Benoot,12,be,Classic,Jumbo-Visma,28,72kg,1.90m,4131,1852,83,842,3948
Quinn Simmons,176,us,Climber,Trek - Segafredo,21,72kg,1.85m,321,361,4,87,530
Alexis Gougeard,213,fr,GC,B&B Hotels - KTM,29,70kg,1.76m,565,639,554,408,357
Jack Bauer,202,nz,TT,Team BikeExchange - Jayco,37,74kg,1.91m,684,754,773,398,331
Giulio Ciccone,172,it,Climber,Trek - Segafredo,27,58kg,1.76m,1077,1234,90,74,3182
Jakob Fuglsang,194,dk,Climber,Israel - Premier Tech,37,65kg,1.81m,3516,6572,1677,612,7338
Damiano Caruso,82,it,Climber,Bahrain - Victorious,34,67kg,1.79m,835,4289,1238,608,5132
Jonas Rutsch,148,de,Classic,EF Education-EasyPost,24,82kg,1.97m,236,230,149,46,133
Edvald Boasson Hagen,182,no,Sprint,TotalEnergies,35,75kg,1.80m,4321,3641,2957,5948,4134
Enric Mas,61,es,Climber,Movistar Team,27,61kg,1.77m,672,3583,567,56,4616
Michael Morkov,57,dk,Sprint,Quick-Step Alpha Vinyl Team,37,71kg,1.83m,1179,943,341,1526,462
Alexander Kristoff,121,no,Classic,Intermarché - Wanty - Gobert Matériaux,34,78kg,1.83m,10251,2154,299,9148,3834
Kevin Geniets,93,lu,Classic,Groupama - FDJ,25,73kg,1.93m,416,301,214,62,338
Gregor Muhlberger,65,at,Climber,Movistar Team,28,64kg,1.80m,700,681,233,335,974
Andreas Leknessund,116,no,GC,Team DSM,23,72kg,1.86m,161,804,496,4,659
Marco Haller,43,at,Classic,BORA - hansgrohe,31,72kg,1.78m,1061,594,17,786,496
Aurelien Paret Peintre,38,fr,Climber,AG2R Citroën Team,26,64kg,1.84m,564,1138,133,56,1224
Amund Grondahl Jansen,205,no,Classic,Team BikeExchange - Jayco,28,83kg,1.87m,816,507,44,366,372
John Degenkolb,113,de,Classic,Team DSM,33,82kg,1.80m,6194,1191,292,6192,2596
Owain Doull,145,gb,Classic,EF Education-EasyPost,29,71kg,1.81m,538,425,261,475,271
Ben O Connor,31,au,Climber,AG2R Citroën Team,26,67kg,1.88m,230,2307,346,46,2316
Alberto Dainese,112,it,Sprint,Team DSM,24,70kg,1.76m,558,163,7,1244,292
Anthony Turgis,187,fr,Classic,TotalEnergies,28,70kg,1.78m,1965,757,182,667,750
Jeremy Lecroq,214,fr,Sprint,B&B Hotels - KTM,27,70kg,1.89m,385,32,18,506,21
Guillaume Martin,71,fr,Climber,Cofidis,29,55kg,1.73m,1892,3270,6,73,4282
Krists Neilands,197,lv,GC,Israel - Premier Tech,27,69kg,1.89m,655,659,249,223,656
Taco Van Der Hoorn,127,nl,Classic,Intermarché - Wanty - Gobert Matériaux,28,73kg,1.87m,1208,197,2,970,188
Felix Grossschartner,42,at,GC,BORA - hansgrohe,28,64kg,1.84m,249,2127,848,200,1916
Mikkel Honore,55,dk,Climber,Quick-Step Alpha Vinyl Team,25,68kg,1.85m,860,432,113,83,1012
Mikkel Bjerg,3,dk,TT,UAE Team Emirates,23,78kg,1.91m,288,269,1639,133,210
Simone Velasco,137,it,Climber,Astana Qazaqstan Team,26,59kg,1.70m,1104,335,37,117,1112
Michael Gogl,103,at,Classic,Alpecin-Deceuninck,28,71kg,1.86m,511,426,76,164,470
Sepp Kuss,14,us,Climber,Jumbo-Visma,27,61kg,1.82m,164,1787,262,42,2785
Ion Izagirre,74,es,Climber,Cofidis,33,60kg,1.73m,1576,5282,2975,168,5370
Amaury Capiot,154,be,Classic,Team Arkéa Samsic,29,69kg,1.86m,1790,203,10,1721,470
Franck Bonnamour,211,fr,Climber,B&B Hotels - KTM,27,70kg,1.80m,577,390,25,97,800
Fabio Felline,134,it,Climber,Astana Qazaqstan Team,32,68kg,1.75m,1762,1437,1238,983,2176
Tim Wellens,168,be,Climber,Lotto Soudal,31,71kg,1.82m,3399,3453,970,284,3756
Maxime Bouet,153,fr,GC,Team Arkéa Samsic,35,67kg,1.83m,727,1569,397,732,1120
Simon Geschke,73,de,Climber,Cofidis,36,64kg,1.71m,1529,1372,660,634,2176
Stefan Bissegger,144,ch,TT,EF Education-EasyPost,23,78kg,1.81m,206,167,1427,112,170
Warren Barguil,152,fr,Climber,Team Arkéa Samsic,30,61kg,1.83m,2397,2840,109,232,4746
Hugo Hofstetter,155,fr,Classic,Team Arkéa Samsic,28,65kg,1.70m,2584,135,0,1975,520
Pierre Latour,185,fr,Climber,TotalEnergies,28,66kg,1.81m,764,2141,1219,132,3082
Chris Hamilton,115,au,GC,Team DSM,27,70kg,1.78m,147,738,74,13,597
Andrea Pasqualon,125,it,Classic,Intermarché - Wanty - Gobert Matériaux,34,68kg,1.74m,2724,647,74,2460,1432
Antoine Duchesne,92,ca,Classic,Groupama - FDJ,30,75kg,1.90m,321,276,20,184,36
Imanol Erviti,62,es,GC,Movistar Team,38,82kg,1.89m,744,926,437,232,446
Kevin Vermaerke,118,us,Climber,Team DSM,21,67kg,1.81m,122,193,11,12,296
Kamil Gradek,83,pl,TT,Bahrain - Victorious,31,81kg,1.94m,196,518,666,434,26
Rigoberto Uran,141,co,Climber,EF Education-EasyPost,35,63kg,1.73m,3081,5820,1783,762,7897
Christopher Juul Jensen,206,dk,GC,Team BikeExchange - Jayco,32,73kg,1.83m,672,1072,357,179,328
Georg Zimmermann,128,de,Climber,Intermarché - Wanty - Gobert Matériaux,24,70kg,1.81m,510,414,0,62,824
Christopher Froome,191,gb,GC,Israel - Premier Tech,37,68kg,1.86m,263,8286,4389,370,7986
Sven Erik Bystrom,122,no,Climber,Intermarché - Wanty - Gobert Matériaux,30,73kg,1.88m,748,692,102,409,751
Thibaut Pinot,97,fr,Climber,Groupama - FDJ,32,63kg,1.80m,1915,6903,1544,170,8798
Benoit Cosnefroy,34,fr,Classic,AG2R Citroën Team,26,65kg,1.79m,2861,640,167,330,1416
Geoffrey Bouchard,32,fr,Climber,AG2R Citroën Team,30,63kg,1.77m,131,692,13,2,840
Matis Louvel,156,fr,Classic,Team Arkéa Samsic,22,73kg,1.87m,842,110,67,98,291
Philippe Gilbert,163,be,Classic,Lotto Soudal,39,75kg,1.78m,12495,4163,1423,5742,6945
Alexandr Riabushenko,132,by,Classic,Astana Qazaqstan Team,26,61kg,1.78m,498,147,6,244,342
Danny Van Poppel,48,nl,Sprint,BORA - hansgrohe,28,82kg,1.84m,2781,457,343,4122,934
Nils Politt,46,de,Classic,BORA - hansgrohe,28,80kg,1.92m,1602,885,1123,448,956
Tony Gallopin,173,fr,Climber,Trek - Segafredo,34,69kg,1.81m,3094,2384,1086,1265,3870
Daniel Oss,186,it,Classic,TotalEnergies,35,75kg,1.91m,1292,735,423,1226,838
Steven Kruijswijk,13,nl,Climber,Jumbo-Visma,35,63kg,1.78m,339,4354,1440,278,4688
Brent Van Moer,166,be,GC,Lotto Soudal,24,79kg,1.91m,210,316,217,62,248
Valentin Madouas,96,fr,Classic,Groupama - FDJ,25,71kg,1.79m,2106,1043,93,136,2075
Jasper Philipsen,105,be,Sprint,Alpecin-Deceuninck,24,75kg,1.76m,2961,344,152,4120,1326
Simon Clarke,193,au,Climber,Israel - Premier Tech,35,63kg,1.75m,2306,1465,134,1384,2439
Guillaume Boivin,192,ca,Sprint,Israel - Premier Tech,33,78kg,1.82m,1236,442,152,1438,309
Stan Dewulf,35,be,Classic,AG2R Citroën Team,24,74kg,1.76m,661,346,65,352,359
Nick Schultz,208,au,Climber,Team BikeExchange - Jayco,27,68kg,1.80m,264,725,65,101,1044
Marc Soler,7,es,Climber,UAE Team Emirates,28,68kg,1.86m,262,2055,655,30,2751
Olivier Le Gac,95,fr,Classic,Groupama - FDJ,28,70kg,1.80m,593,375,4,187,190
Michael Woods,198,ca,Climber,Israel - Premier Tech,35,64kg,1.75m,2752,2206,40,186,4978
Reinardt Janse Van Rensburg,164,za,Sprint,Lotto Soudal,33,74kg,1.82m,1268,892,458,2015,744
Andreas Kron,165,dk,Climber,Lotto Soudal,24,63kg,1.77m,587,414,6,6,1112
Sebastian Schonberger,218,at,GC,B&B Hotels - KTM,28,64kg,1.81m,208,228,11,60,201
Dmitriy Gruzdev,135,kz,TT,Astana Qazaqstan Team,36,78kg,1.85m,313,749,783,278,37
Fabio Jakobsen,51,nl,Sprint,Quick-Step Alpha Vinyl Team,25,78kg,1.81m,1634,89,38,3386,351
Peter Sagan,181,sk,Sprint,TotalEnergies,32,78kg,1.82m,9339,1797,1335,9935,8244
Oliver Naesen,37,be,Classic,AG2R Citroën Team,31,74kg,1.84m,3935,1338,49,1252,1981
Guillaume Van Keirsbulck,108,be,Classic,Alpecin-Deceuninck,31,89kg,1.92m,795,586,459,609,61
